"Cb"	"Cd"	"Ci"	"Ee"	"Pg"	"Pp"
0.00441383924135873	0	0	0	0	0
0	0	-0.185363559467328	0	0	0
0	0	0	0.156576825104403	-0.116494936782909	0
0	0	0	0	-0.204554971927368	0
0	0	0	0.00316181220192081	0	-0.0127836978333965
0	0	0	-0.0349660134021742	0	0.102520522994712
0	0	0	0	0	0
0	0.199030919768552	0	0	-0.00298929055211003	0
-0.0506713212197973	0	0	0	0	0
0	0	0	0	0	0
-0.13113919126285	0	0	-0.142811522795537	0	0
0	0	0.0617530440421887	0.0221226218846348	0	0.0584713578339426
0.0509142094497185	0	0	0	0	0
0.0206261726413785	0	0	0	0	-0.0321331027957745
0	-0.483688990997764	0.447683047573479	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0.00146585333424603	0	0	0	0
0	0	-0.0320643821281963	0	0	0
0	-0.100871749536689	0	0	0.0750426985410647	0
0	0	0	0	0	0
0	0	0	0.00572498510921505	0	0
0	-0.0850539828102763	0	-0.0221525417983085	0	0.0243112406035048
0	0.0506862477601118	0	0	0	0
0.0777125477676138	0	0.064312901600805	0	0	0
0	-0.0671389066389337	0	0	0	0.0592208405864711
-0.0188977173016586	0	0	0	0	0
0.000114188775673091	0	0	0	0.0152114463232472	0
0	0	0	0	0	0
0	0	-0.00645268483683777	-0.0673576545656867	0	0
-0.0506713212197973	0	0	0	0	0
0	0	0	0.0430687326793743	0	0
0	-0.339557333461774	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	-0.0172360807404968
0	0	0	0	0	-0.0321331027957745
0	0	0	0	0	0.0353501195898579
0	0	0.175960277713045	0	0.102286746115534	0
0.0180806287683112	0	0	0	0	-0.00763121568500313
0	0.00146585333424603	0	0	0	0
0	0	-0.0320643821281963	0	0	0
0	0	-0.00560547140744765	0	0	-0.229820201854625
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0.0506862477601118	-0.185363559467328	0	0	0.015614317556574
0	0	0	0	0	0
0	0	0	0	0	0
