"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"coex_1_2"	"coex_1_3"	"coex_2_3"	"coex_rate"	"replicate"
1.20936690993963	133.03120490652	0.0094	0	0	0	0	0	0	1
0.725187897790852	132.977858895108	0	0	0	0	0	0	0	1
0.116234338191683	124.043322833645	0	0	0	0	0	0	0	1
2.60630941971717	150.613074206184	0.244	0.0102	0	0	1	0	0.333333333333333	1
2.1525264438404	129.215431797515	0.0242	0.0057	0	0	1	0	0.333333333333333	1
2.00950104083246	71.8295387807451	0.5476	0.0084	1	0	1	1	0.666666666666667	1
0.522848131245898	80.8371106684095	0.0372	0.0034	0	0	0	0	0	1
1.17554615843431	89.993808469741	0.0862	0.0086	0	0	1	0	0.333333333333333	1
1.38654734205179	129.859366845475	0.0781	0.0079	0	0	0	0	0	1
1.09824769232596	120.50707367109	0.0172	0	0	0	0	0	0	1
2.49037176201025	144.92394456875	0	0	0	0	0	0	0	1
0.445580158519551	108.314128612541	0	0	0	0	0	0	0	1
0.626315628866016	99.1812600247779	0.1091	0.0062	0	0	0	0	0	1
2.42207726704164	117.626421417782	0.3166	0.0104	0	0	1	0	0.333333333333333	1
1.98005294990853	138.053833680957	0.027	0.0065	0	0	1	0	0.333333333333333	1
1.01515857695473	124.367260313825	0	0	0	0	1	0	0.333333333333333	1
1.21056808919471	117.847868761535	0.1464	0.0095	0	0	0	0	0	1
1.76077810903083	129.931469823768	0.0038	0	0	0	1	0	0.333333333333333	1
0.925028618346994	170.913069741254	0	0	0	0	0	0	0	1
1.04887258345098	157.603928122026	0	0	0	0	1	0	0.333333333333333	1
1.27500474337344	77.4838228460829	0.5648	0	0	0	0	1	0.333333333333333	1
0.276943205269559	97.8328992572322	0.0308	0.0217	0	0	0	1	0.333333333333333	1
2.84505144526635	139.679902065761	0.6507	0	0	0	1	0	0.333333333333333	1
2.38801662087375	95.0954332569902	0.2961	0.1038	0	0	1	1	0.666666666666667	1
1.81413396326353	56.9088351669339	0.405	0.153	0	0	1	0	0.333333333333333	1
0.620521840204393	82.2177736888607	0.0682	0.0478	0	0	0	0	0	1
0.895035166370728	80.4119917090589	0.1573	0	0	0	1	0	0.333333333333333	1
1.67031653781272	128.878147705366	0.1571	0	0	0	0	0	0	1
1.54466797857693	107.19790057329	0.085	0	0	0	0	0	0	1
1.84059183581313	153.471893111446	0	0	0	0	0	0	0	1
0.380702823508449	83.7610130710171	0.0208	0.0337	0	0	0	0	0	1
0.469742726688096	94.4143855790483	0.0691	0	0	0	0	0	0	1
2.82058648870664	88.8312586558658	0.5771	0.1608	1	0	1	0	0.333333333333333	1
2.94066274076349	115.162294533251	0.4334	0.1311	0	0	1	1	0.666666666666667	1
1.45349128302995	117.20855489999	0.078	0	0	0	1	0	0.333333333333333	1
2.16379316607338	81.3936268307898	0.6627	0.1708	0	0	0	0	0	1
2.01755742974486	121.781989666308	0.2616	0	0	0	1	0	0.333333333333333	1
0.084214443147634	167.578102932242	0	0	0	0	0	0	0	1
1.65456733306164	151.027950991848	7e-04	0	0	0	1	0	0.333333333333333	1
0.113122809006009	122.836550837166	0	0	0	0	0	0	0	1
0.0700422430920111	85.2678806162115	0	0	0	0	1	0	0.333333333333333	1
0.9916718735484	117.925192432353	0	0	0	0	1	0	0.333333333333333	1
0.291928626855279	74.421103342633	0	0	0	0	1	0	0.333333333333333	1
1.33179475238344	94.1497663452182	4e-04	0	0	0	0	0	0	1
0.178125149557289	75.0282213345115	0	0	0	0	1	0	0.333333333333333	1
0.820311574285832	129.148497746712	0	0	0	0	0	0	0	1
0.644315241776877	106.467738738882	0	0	0	0	0	0	0	1
1.97795161466591	170.968339245476	0	0	0	0	0	0	0	1
0.238750446994308	99.4910231067438	0	0	0	0	0	0	0	1
0.0271918777546556	115.222138473893	0	0	0	0	0	0	0	1
3.12270983918288	136.438200735502	0.3869	0	0	0	1	1	0.666666666666667	1
0.635418793671791	119.260506130112	0	0	0	0	1	0	0.333333333333333	1
1.85820238613849	132.630314007053	0	0	0	0	1	0	0.333333333333333	1
0.334291523096785	118.342065221309	0	0	0	0	0	0	0	1
0.240183212209507	117.163566006361	0	0	0	0	1	0	0.333333333333333	1
1.39531459887932	124.258734227091	0	0	0	0	0	0	0	1
1.41626990850377	129.152844966533	0.1374	0	0	0	1	0	0.333333333333333	1
1.48039918667898	84.0946678916808	0.3091	0.1043	0	0	1	1	0.666666666666667	1
2.7451696054933	71.9045036261367	0.9837	0.0106	1	0	1	1	0.666666666666667	1
0.586907950014155	67.1171830154533	0.4748	0	0	0	1	0	0.333333333333333	1
0.0907392051064909	48.8761262563959	0.0581	0.0072	0	0	0	0	0	1
0.1510218651859	52.0714547597361	-0.0378	0.0223	0	0	1	0	0.333333333333333	1
0.344746149775585	96.5285006828746	-0.0768	0.0306	0	0	0	1	0.333333333333333	1
0.0161736132524398	100.642029842392	1e-04	0	0	0	0	0	0	1
1.82838010424238	78.3190610723542	0.2934	0	0	0	0	1	0.333333333333333	1
0.230376104355847	68.3851498777978	0.0024	0	0	0	0	1	0.333333333333333	1
0.0897868660086198	74.0113760432139	-0.0263	0.0177	0	0	0	0	0	1
1.49235443033886	80.8689224695246	0.5774	0.0585	1	0	1	1	0.666666666666667	1
1.27375242565638	71.6682913923304	0.519	2e-04	0	0	1	1	0.666666666666667	1
0.374482722532699	77.1320123443342	-0.033	0.054	0	0	1	1	0.666666666666667	1
0.158911907374966	80.4550822653565	0.1097	0.0279	0	0	0	1	0.333333333333333	1
0.258384886938739	78.7273996773026	-0.0427	2e-04	0	0	1	1	0.666666666666667	1
2.34754587733792	79.7555594982673	0.1275	0	0	0	0	0	0	1
0.508533513512939	115.772374905607	-0.0523	0.0479	0	0	1	1	0.666666666666667	1
0.940710472165601	59.4387451433126	-0.3086	0.1237	0	1	1	1	1	1
0.212784964154154	38.5877648140035	-0.0433	0	0	1	1	0	0.666666666666667	1
0.506532404823919	26.4413650839704	-0.451	0.1468	0	1	0	1	0.666666666666667	1
1.24080918782084	27.2977262001312	-0.3396	0.4658	1	1	1	1	1	1
1.11358992471279	50.3731499329077	0.6092	0	0	1	0	0	0.333333333333333	1
2.89804343011343	116.730065099481	0.6787	0	1	1	0	0	0.333333333333333	1
0.477802034380483	98.439628262464	0	0	0	1	0	1	0.666666666666667	1
0.523952676849507	42.9153171405941	-0.2803	0.0243	0	1	0	1	0.666666666666667	1
0.377983419924476	47.4371464781902	0.1727	0.0737	0	1	0	0	0.333333333333333	1
1.06262963806264	58.7358842444117	-0.1378	0.4874	1	1	1	1	1	1
0.454164395177571	44.2573411911954	-0.0529	0	1	1	1	0	0.666666666666667	1
3.40827813198002	44.8182587052636	0.5074	0.4926	1	1	1	1	1	1
3.38788901431875	69.5162244116778	0	1	1	1	0	1	0.666666666666667	1
0.335425432013563	54.0819666904291	-0.2606	0.0278	0	1	1	1	1	1
2.17237747571294	94.3356972829671	0	0	0	1	0	1	0.666666666666667	1
3.22904699029879	121.352028128778	-1	0	0	1	1	1	1	1
0.108053643140301	30.7139955761834	-0.3423	0.0173	0	1	1	1	1	1
0.608555905050939	25.2887553373614	-0.295	0.1727	0	1	0	1	0.666666666666667	1
1.39408926797344	8.54363357788502	-0.1102	0.5509	1	1	1	1	1	1
2.17667783857889	42.7161272922604	0.5695	0.0087	1	1	0	0	0.333333333333333	1
