"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"coex_1_2"	"coex_1_3"	"coex_2_3"	"coex_rate"
1.24450723381177	133.406945842325	0.0145	0	0	0	0	0	0
0.27323818656173	104.139216158515	0	0	0	0	0	0	0
0.097379127020729	126.129829304159	0	0	0	0	0	0	0
2.62887243106819	147.237963289359	0.2644	0.0204	0	0	1	0	0.333333333333333
2.3188322143765	127.579671794906	0.0842	0.0137	0	0	1	0	0.333333333333333
1.93695527519628	76.584985751655	0.6634	0.0249	1	0	1	1	0.666666666666667
0.56158285839037	82.8264311280921	0.0262	0.0078	0	0	0	0	0
1.55729208503223	111.74522970332	0.1744	0.019	0	0	0	0	0
1.40619392297785	133.482309984226	0.0848	0.0155	0	0	0	0	0
1.09302148698006	123.177939164163	0.0191	0	0	0	0	0	0
2.66000420340583	131.685504184227	0	0	0	0	0	1	0.333333333333333
0.400524052718021	110.298341623054	0	0	0	0	0	0	0
0.238350183525272	104.882490982004	0.0249	0.0084	0	0	0	0	0
3.34764116879527	129.724523371895	0.6606	0.0237	1	0	1	1	0.666666666666667
1.94415285260382	141.047930951014	0.0235	0	0	0	1	0	0.333333333333333
0.940894024997949	123.06816003486	0	0	0	0	1	0	0.333333333333333
1.18341831322064	118.734846855076	0.1374	0.0195	0	0	0	0	0
2.09811446289587	153.92193656542	0.0668	0	0	0	1	0	0.333333333333333
1.44055377141981	172.404608732911	0	0	0	0	1	0	0.333333333333333
1.20644909249581	155.535213585841	0	0	0	0	1	0	0.333333333333333
1.36657540232929	64.8469312440512	0.762	0	0	0	0	1	0.333333333333333
0.220759764062967	99.7514445562147	0.0238	0.0159	0	0	0	1	0.333333333333333
2.88463886777608	139.404795560571	0.6387	0	0	0	1	0	0.333333333333333
2.53703270249712	93.7801665718644	0.3439	0.1232	0	0	1	1	0.666666666666667
1.77922141564188	61.5115618588258	0.4541	0.1567	0	0	1	0	0.333333333333333
0.623965611884315	82.5246133268541	0.0658	0.0413	0	0	0	0	0
1.42960653045193	95.9194967671288	0.1974	0.0124	0	0	0	0	0
1.5962135256184	131.7593688201	0.1596	0	0	0	0	0	0
1.53247692449522	107.575357030079	0.0799	0	0	0	0	0	0
1.6882108404154	153.478255417777	0	0	0	0	0	0	0
0.381021693499502	85.642010464202	0.0476	0.032	0	0	0	0	0
0.155922003261696	100.508442617037	0.0195	0	0	0	0	0	0
3.32479465004641	97.1112895527338	0.6934	0.1673	1	0	1	1	0.666666666666667
3.00068739099297	114.827075987658	0.458	0.136	0	0	1	1	0.666666666666667
1.34877689492146	118.119665973873	0.0458	0	0	0	1	0	0.333333333333333
2.09503539653718	81.6407988518468	0.658	0.1836	0	0	0	0	0
3.20587385857038	149.264730200876	0.7473	0	0	0	1	0	0.333333333333333
0.12778666226765	167.987659063708	0	0	0	0	1	0	0.333333333333333
1.65099324756353	149.467966629079	0.0068	0	0	0	1	0	0.333333333333333
0.0258642520863241	113.810060435855	0	0	0	0	0	0	0
