"ACHMIL"	"ANTODO"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESARU"	"FESRUB"	"GALVER"	"GERROT"	"LEUVUL"	"LOLPER"	"LOTCOR"	"ONOREP"	"PICECH"	"PICHIE"	"PLALAN"	"POAANG"	"POAPRA"	"RANACR"	"RUMACE"	"SALPRA"	"SONCHU"	"TAROFF"	"TRIPRA"	"VERBOF"
1e-06	1e-06	0.08808953157437	0.141242139551215	0.279511778587766	0.325016109147661	1e-06	1e-06	0.00335939000791496	1e-06	0.0339052547568516	1e-06	0.347520542394186	0.0182703411586267	1e-06	1e-06	1e-06	0.185848937935796	1e-06	1e-06	0.0929190946989798	1e-06	1e-06	0.187931466536322	1e-06	2.06109855338473	0.0331364979315776	1e-06	1e-06	1e-06	1e-06
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
0.0292163741257799	0.0561758139902891	1e-06	0.00221389879178978	0.000860324672858178	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.00182411214965061	1e-06	0.0122673661813716	1e-06	0.00777550593287434	1e-06	0.0267557347897956	1e-06	0.171423887282411	1e-06	1e-06	0.00110697294356335	1e-06	0.0541818313207657	0.0310080657073817	0.00354990344457234	1e-06	1e-06	1e-06	3.06797388274042e-05
1e-06	0.0575303813540447	0.00229073254537862	1e-06	1e-06	1e-06	0.103642221342419	0.00474723104713153	0.00330278677141553	1e-06	1e-06	0.0549270988608197	1e-06	0.006660245388705	1e-06	1e-06	0.00362126870970655	1e-06	1e-06	0.00381130326061173	1e-06	0.0144170697665188	0.0108929401007421	0.0521979594294365	0.0442490259212312	0.228365230874301	1e-06	0.000473208618781807	0.154667931826819	1e-06	1e-06
1e-06	1e-06	1e-06	0.00262028038655479	1e-06	1e-06	0.0253287160201666	1e-06	1e-06	0.0187109322921056	1e-06	0.0129798324411139	0.109888685140713	0.00663288927859937	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.131455850977183	1e-06	1e-06	1e-06	1e-06	0.0245891889171816	1e-06	1e-06
0.0363724538737875	1e-06	1e-06	0.0151957663655995	0.0220828834623616	1e-06	0.704357932907144	1e-06	0.0020036545303441	0.0161840499817818	1e-06	0.0101095647492227	0.00494451630046874	0.00871884887187856	1e-06	0.0459273674751577	0.0368326638023086	1e-06	1e-06	0.0318256512544941	0.0143387717079045	1e-06	1e-06	0.00450092808573573	0.110588266718315	1e-06	0.00213268680620679	1e-06	1e-06	0.0366036112193211	1e-06
1e-06	1e-06	1e-06	1e-06	17193.5550769884	1e-06	268981.642968739	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	3220.68143573382	1e-06	1e-06	1e-06	54647.4127777493	1e-06	113590.476108726	0.0145435549673886	1e-06	1e-06	1e-06	1e-06	1e-06
0.0327949513920491	1e-06	1e-06	0.00280373545645788	1e-06	1e-06	0.000227548304793301	1e-06	1e-06	1e-06	0.00309215950314782	1e-06	0.00539658538689073	0.000388292608549036	1e-06	1e-06	1e-06	1e-06	1e-06	0.0521891354593214	0.000829213871630798	0.00241513569269911	1e-06	1e-06	0.0290473237985126	1e-06	0.00915014118373083	0.0232116462829188	0.0691679216427025	1e-06	1e-06
1e-06	0.13132252484566	1e-06	0.0065376209839268	1e-06	0.0171569128352875	0.0893461347936005	1e-06	1e-06	0.000607971803779256	1e-06	1e-06	1e-06	1e-06	0.171651593865021	1e-06	0.00369732637828627	0.0281563625364992	0.0112100985861189	0.168556700105046	0.0195994699610963	1e-06	1e-06	0.0612907315614067	1e-06	0.109788865288804	0.00192591944331692	0.0947467777570849	0.0371092128565322	0.0100921767516379	0.02447277871135
0.0192695131129808	1e-06	1e-06	0.00335395773688046	1e-06	0.0118991238847775	1e-06	1e-06	0.00673796375518727	1e-06	0.00226597713268984	0.0153668315765636	0.014902771042103	0.00836535600964943	0.0259450373274852	0.0162626102210249	1e-06	0.0242729307973972	1e-06	1e-06	0.00320168626356432	1e-06	0.0023068102728786	0.0190035765852893	0.293910122747074	1e-06	0.0112932833423103	0.223315658328403	0.170124828258995	0.00216001246717283	0.104960096633792
0.150657534307819	1e-06	0.0247222935243312	0.0332008101117643	0.190826356350116	1e-06	0.216522102414411	0.1017449445344	0.0453795995696625	0.0185537015982058	1e-06	1e-06	1e-06	1e-06	0.653307038149236	1e-06	1e-06	1e-06	0.0257807149923281	0.102966012661959	1e-06	0.0409903574117406	0.132448086822488	1e-06	1e-06	0.521008086865711	1e-06	1e-06	1e-06	1e-06	0.132481159323427
1e-06	1e-06	57.1126209768226	1589.83811394631	1e-06	1e-06	1e-06	442.502651786172	324.538305679114	1e-06	1866.48458465801	1e-06	2598.26117273419	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	14757.5937252724	1495.57066565401	942.901675004176	1e-06	1e-06	1e-06	1e-06
0.00489009391523754	1e-06	1e-06	0.00658930952290377	0.056036261090718	1e-06	0.028096670627942	0.00213299301144529	0.00426276843733179	1e-06	1e-06	1e-06	1e-06	1e-06	0.0492183899818946	1e-06	1e-06	1e-06	1e-06	1e-06	0.0230500322126203	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0128392219308499	0.0100612627618157	1e-06
