"x"
"ACHMIL"	165.632318356191
"ANTODO"	20.0052001293557
"ARRELA"	36.160096489836
"BROERE"	92.3101370447519
"CENJAC"	55.6720244526262
"CONARV"	19.610576880528
"CREPIS"	264.067690126442
"DACGLO"	18.0521241093361
"DAUCAR"	49.2023183038287
"ELYREP"	27.4989480222285
"ERYNGE"	49.8435024020782
"FESARU"	440.521912460199
"FESRUB"	35.5919380756419
"GALVER"	25.4068636228757
"GERROT"	26.4168761729612
"LEUVUL"	134.508687935706
"LOLPER"	27801.5343064173
"LOTCOR"	25.8704104623937
"ONOREP"	72.0098139366628
"PICECH"	10.0028900988965
"PICHIE"	622.709364450223
"PLALAN"	26.152611342984
"POAANG"	10.2441275702197
"POAPRA"	26.9411374138542
"RANACR"	60.7329041252306
"RUMACE"	972.008522827847
"SALPRA"	77.6214028555484
"SONCHU"	63.5080067419118
"TAROFF"	85.8662463546161
"TRIPRA"	63.5916738242768
"VERBOF"	1592.26037575202
