"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESARU"	"FESRUB"	"GALVER"	"GERROT"	"LEUVUL"	"LOLPER"	"LOTCOR"	"MEDARA"	"ONOREP"	"PICECH"	"PICHIE"	"PLALAN"	"POAANG"	"POAPRA"	"POATRI"	"RANACR"	"RUMACE"	"SALPRA"	"SONCHU"	"TAROFF"	"TRIPRA"	"VERBOF"
0.00389903448699563	0.0120447336497728	0.0128499642244441	0	0	0.0467272088165954	0	0	0	0	0.00820074647790897	0.00451801500990347	0.0107912871384879	0.0505777065433955	0	0	0	0	1	1	0	0	0	0	0	0	0.0214219122250705	0	0.0374897642653705	0.0217009032252815	0	0.000647427987016678
0.00873665797691579	0	0.0143113247390013	0.0172683600285968	0	0	0.00915633433131939	0	0.00651016984996775	0.0010235278874716	0.0169310488108841	0.00988490921736186	0.00597391271977335	0	0.0290819679385748	0.0123726276825625	0.00540680191147153	0	0	0	0.00610649271691891	0.00295078277295288	0.00829224633863324	0	0.0404061678296204	0.0145829851399733	0.00363295825546447	0	0.00395893860748066	0	0.00778538481062649	0
0.0077946591764108	0.0100407228648133	0	0.00531601568806991	0.0113262863042399	0.00105699479758232	0.0110941998547334	0.0100794208059989	0	0.00127226897526646	0	0.0114643325379753	0.00262873467110329	0	0.00770354512579215	0.0260131802890936	0	0.0820058355276165	0.00186552928865501	0.00317236498654627	0.00838037609234821	0.00377078846790218	0.0103025374007905	0.0417947728651352	0.00200233294475235	0.0234568391183855	0.0296300131220315	0.00597293352862376	0.00593935168472639	0.0100858348721285	0.00406119933162056	0.0055861418274311
0	0	0.00307137613476457	0	0.00521547172006809	0.0295935963748791	0	0	0	0.00810835841748652	0	0.0150935273059267	0	0	0	0	0	0.571597038943207	0	0	0.00317359530565319	0	0	0.0369117381360416	0.357785060172244	0	0.000882556519009225	0	0.000254955678513137	0	0	0.0211509907788279
0.00341881970230529	0	0.00515966038930247	0.00675306213908701	0	0	0.00434109028504786	0.00414940055662207	0.0025337979167091	0	0.00312504197445854	0.00621727265602241	0	0.00772567706989304	0	0.00294833687797762	0.000635861064822297	0	0.00694893465389637	0.771698084440056	0.00861187605906208	0	0	0	0	0	0.00227643713392463	0.00845361271561713	0.000962601992777449	0.00463869751344969	3.49912117382321e-05	0.00157371553240407
0	0.00732529637807579	0.0398808671388552	0.0896519107878598	0	0	0	0.0406323345198163	0	0.104741554357673	0.0245121108119682	0	0.00330263189162136	0	0	0	0.0206230216606404	1	0	1	0.0262265063042355	0	0	0	0.172392303928252	0.32953845601155	0.126442826723966	0.0701509423669441	0	0	0	0.134217693831157
0.0259867659432071	0.0165174909207628	0.0232088530633963	0.0278189118780357	0	0	0.00383298238868222	0.00926353633038317	0.0183138809567505	0.0289117529489899	0	0.0179945797631358	0.00166765664203198	0.0178520431164883	0	0.0234327782419623	0.00995899284813231	0.0380709344079238	0	0	0.0110098083217053	0	0	0	0	0.0145326619263023	0.01191085349117	0.00594204635559988	0.0212397877776466	0.0109924159031045	0.0209152388201279	0.00828183158183555
0	0.00550567390894199	0.0037935651250674	0	0	0.0500907874029833	0	0	0.00674452488892561	0.00594196653339454	0	0	0	0	0	0.0397709304946019	0.00229721275952393	0	0	0.285130373396631	0.0104789403695331	0	0	0	0	0.00233319018783116	0	0	0.0249531009631181	0.00880947788840466	0	0
0.0310880582447035	0.000378607752425179	0.00262588316461011	0.0310191167101014	0.0137296077022814	0.186678183190526	0.00515110980605806	0	0.0142817677666198	0.00664704971030456	0.0439312294997791	1	0	0	0.0404356907524764	0.0177515744579913	0	0	0.0615494596276076	0.131547545188043	0.044310391568313	0	0	0	0	0	0	0.00201321776868952	0.035043311951709	0.00783000904343023	0	0
0.00846679073472309	0	0	0.00443422261558088	0	0	0	0	0	0.0042399290076036	0	0	0	0.0078701682067297	0	0.0076619553586504	0	0	0	0.898145601110908	0	0	0	0	0.0144871189821583	0	0	0	0.00629167299783846	0	0	0.00496902618102884
189.738770259316	0	36.4331769561655	220.114232774621	0	0	0	0	0	236.411129031219	0	1	98.4229693586446	1	1	27.5131310215182	1	828.168462607934	1	1	2.19962412439801	0	0	0	0	2395.36931630773	0	0	1	313.51542309077	494.508158658468	507.807760342417
0	0	0	0.00230902140745902	0	0	0	0	1	0	1	0	0.000681055185561838	0	0.0738134934437113	0	0.00428185888313551	1	0.0548575728609716	0.102238063671152	0.000310966291982183	0.00387127878026626	0	0	1	0.121529617399931	0	0	0	0	0	0
0.0074925370293824	0.00516222637170451	0.0132279897985864	0.0110978396313927	0	0.0928403554091154	0	0	0.00980385082861189	0	0.00840061398914033	0.00231463926448388	0	0.0324214628533149	0.0201495045441752	0.0119532368443131	0	0.0236118148040466	0	0.0179123126484695	0	0	0.00191229660056103	0	0	0.0526157003644468	0	0.00127986809517479	0.0448382971411459	0	0	0
0	0	0	0	0	0	0	0	0.00123336404627903	0.0150963206265988	1	0.0379980396018349	0	0	0	0	0	0	1	0.371907148431962	1	0	0	0.00200016684470191	0.00804049387853831	0	0.0235201574128913	0	0	0	0	0
0	0	0	0.00168957358014071	0.00198157334878483	0.240152228818817	0	0.00578963599198366	0	0	1	0.0275889991455824	0	0.126949625988486	0.0251298052438057	0.139231753413297	1	1	1	1	0.00429218829744621	0.0135632260077326	0	0	1	0.0893794819497148	0.0509238157638075	0	0	0	0	0
0.0114902226003195	0	0.00359724996880612	0	0	0.0254403231597465	0	0.00419895784112708	0.0242572127008577	0	0	0.0086747995483097	0	0	0.305469053388903	0.0043104380560756	0	0	1	0.134515859007343	0.00800102783460275	0.00202176442783055	0	0	0	0.0135942565408706	0	0.00609477469208376	1.26713024381533e-06	0	0	0.0474738469171837
