"x"
"ACHMIL"	77.7936850231128
"ANTODO"	20.0047200131135
"ARRELA"	19.0241325801313
"BROERE"	24.457934940412
"CENJAC"	15.3534176478823
"CONARV"	13.7491225442865
"CREPIS"	3542837.79768227
"DACGLO"	12.8184836106888
"DAUCAR"	21.8608535445277
"ELYREP"	15.2213236137115
"ERYNGE"	99.4052493782111
"FESARU"	647939.010636399
"FESRUB"	16.0863820676457
"GALVER"	23.3391978095466
"GERROT"	4879673.91089498
"LEUVUL"	175062.667496172
"LOLPER"	589480.729062038
"LOTCOR"	14.0873575959424
"ONOREP"	29.1988808124632
"PICECH"	10.0026500354335
"PICHIE"	16.6052912150815
"PLALAN"	13.4923028246093
"POAANG"	6.77621281332166
"POAPRA"	18.6884493533767
"RANACR"	592187.692470218
"RUMACE"	58.9189105231887
"SALPRA"	28.9162788601645
"SONCHU"	5469412.99802972
"TAROFF"	2427244.99423386
"TRIPRA"	60.6617938642396
"VERBOF"	2261928.96425063
