"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"coex_1_2"	"coex_1_3"	"coex_2_3"	"coex_rate"	"VIS"
1.23725388031196	132.378966095182	0.0146	0	0	0	0	0	0	0.333333333333333
0.741468983462839	125.18718055739	0	0	0	0	0	0	0	0.333333333333333
0.11539644795082	124.071695927934	0	0	0	0	0	0	0	0.333333333333333
2.87784598411393	150.816835949019	0.3798	0.0293	0	0	1	0	0.333333333333333	0.333333333333333
2.29278041514746	130.518719118807	0.0546	0.0183	0	0	1	0	0.333333333333333	0.333333333333333
1.99516591923784	72.8568113641873	0.4704	0.0254	1	0	1	1	0.666666666666667	0.333333333333333
0.473945774926378	81.0523810907143	0.0281	0.0109	0	0	0	0	0	0.333333333333333
1.32784576001641	96.8495703367601	0.1321	0.0281	0	0	0	0	0	0.333333333333333
1.4026125947653	129.310346959354	0.0756	0.0209	0	0	0	0	0	0.333333333333333
1.14511171926862	119.869470353479	0.0261	0	0	0	0	0	0	0.333333333333333
2.19817899477505	134.302386292153	0	0	0	0	0	0	0	0.333333333333333
0.41897153132747	112.323649321073	3e-04	0	0	0	0	0	0	0.333333333333333
0.452390824644406	99.8287788872389	0.0614	0.0156	0	0	0	0	0	0.333333333333333
2.71826967173715	120.415060293628	0.4306	0.0295	0	0	1	0	0.333333333333333	0.333333333333333
1.98687146402485	139.698475329201	0.0514	0	0	0	1	0	0.333333333333333	0.333333333333333
1.0079256108425	122.959740441378	0	0	0	0	1	0	0.333333333333333	0.333333333333333
1.17508185303044	115.39015541351	0.1359	0.0262	0	0	0	0	0	0.333333333333333
1.9362264485631	138.613612693401	0.0498	0	0	0	1	0	0.333333333333333	0.333333333333333
1.67116904892898	168.184661309067	0	0	0	0	0	0	0	0.333333333333333
1.12923873731827	157.129959063002	0	0	0	0	1	0	0.333333333333333	0.333333333333333
1.35198673851345	72.2598998514483	0.6768	0	0	0	0	1	0.333333333333333	0.333333333333333
0.272270517382851	97.9547185149797	0.0275	0.0187	0	0	0	1	0.333333333333333	0.333333333333333
2.85385415216256	141.219424363407	0.6319	0	0	0	1	0	0.333333333333333	0.333333333333333
2.45405951733944	94.5063969089433	0.3314	0.1023	0	0	1	1	0.666666666666667	0.333333333333333
1.67933807882489	68.2080847231443	0.3227	0.1344	0	0	1	0	0.333333333333333	0.333333333333333
0.542547435260783	81.2961321676095	0.0559	0.0428	0	0	0	0	0	0.333333333333333
1.1014232822039	85.8113916720046	0.1945	0.0018	0	0	0	0	0	0.333333333333333
1.63901676083166	128.096720306062	0.1646	0	0	0	0	0	0	0.333333333333333
1.58739299288145	106.90052093316	0.0949	0	0	0	0	0	0	0.333333333333333
1.55917178667765	147.97507402659	0	0	0	0	0	0	0	0.333333333333333
0.355364524941585	84.0155394932315	0.0269	0.0328	0	0	0	0	0	0.333333333333333
0.323910221451913	96.2819368637874	0.0392	0	0	0	0	0	0	0.333333333333333
2.96713983217249	89.9963824138593	0.6075	0.168	1	0	1	1	0.666666666666667	0.333333333333333
2.97160175555478	114.461320069587	0.4293	0.1282	0	0	1	1	0.666666666666667	0.333333333333333
1.42098751078967	116.691822076412	0.0656	0	0	0	1	0	0.333333333333333	0.333333333333333
2.07756008256959	80.1551168602368	0.6536	0.1717	0	0	0	0	0	0.333333333333333
2.35499297372685	130.540046925327	0.3797	0	0	0	1	0	0.333333333333333	0.333333333333333
0.175112472312729	169.816960785382	0	0	0	0	0	0	0	0.333333333333333
1.68540870944768	150.778577631612	0.0032	0	0	0	1	0	0.333333333333333	0.333333333333333
0.100666673772548	122.34501840603	0	0	0	0	0	0	0	0.333333333333333
0.0318687556297688	82.9298361644174	0	0	0	0	1	0	0.333333333333333	0.333333333333333
