"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"coex_1_2"	"coex_1_3"	"coex_2_3"	"coex_rate"
1.24932302277712	120.817311778656	0.0151	0	0	0	0	0	0
0.732158336052393	131.191381783999	0	0	0	0	0	0	0
0.130058701014285	104.261102573744	0	0	0	0	0	0	0
2.76992385625817	103.437328514253	0.3169	0.0304	1	0	1	1	0.666666666666667
2.26643330128797	94.1843949605591	0.0503	0.0175	0	0	1	0	0.333333333333333
2.01121216477709	53.549648131671	0.5413	0.0264	1	0	1	1	0.666666666666667
0.433955909050347	52.2513455014122	0.0157	0.0124	0	0	0	0	0
1.17987577640139	66.9926637764715	0.1052	0.0314	0	0	1	0	0.333333333333333
1.43254055826269	104.3600375014	0.0829	0.0189	0	0	0	0	0
1.15678673875372	109.893117012767	0.0258	0	0	0	0	0	0
2.03214805547646	173.344604918479	0	0	0	0	0	0	0
0.421781614255734	75.7055121962921	2e-04	0	0	0	0	0	0
0.288004550017137	85.3896730735246	0.055	0.0123	0	0	0	1	0.333333333333333
2.50246361127581	81.3249328173286	0.354	0.0304	1	0	1	1	0.666666666666667
1.99046409123805	98.0087935935085	0.0571	0	0	0	1	0	0.333333333333333
1.00461417286534	91.1746751367153	0	0	0	0	1	0	0.333333333333333
1.17706653630195	113.418612947896	0.1344	0.0266	0	0	1	0	0.333333333333333
1.91410093785939	103.77877092428	0.0453	0	0	0	1	0	0.333333333333333
1.70568429142417	152.606733521889	0	0	0	0	0	0	0
1.0887118736469	129.870421726031	0	0	0	0	1	0	0.333333333333333
1.28852375242649	69.7981077704895	0.5864	0	0	0	0	1	0.333333333333333
0.315021744524849	96.0804047383399	0.0332	0.0201	0	0	0	0	0
2.79474508807247	132.318709104686	0.6154	0	0	0	1	0	0.333333333333333
2.46593171790452	98.5065075520183	0.327	0.1108	0	0	1	1	0.666666666666667
1.81894219607587	44.9905593979333	0.4203	0.1485	1	0	1	1	0.666666666666667
0.515906987199137	90.7455572923134	0.061	0.0332	0	0	0	0	0
1.08368954337083	87.7215756582303	0.1696	0	0	0	1	0	0.333333333333333
1.67859610970926	133.839093818297	0.1639	0	0	0	0	0	0
1.61575390573553	108.24319649824	0.0964	0	0	0	0	0	0
1.50052248284192	151.949948354426	0	0	0	0	0	0	0
0.343745220031944	86.2112231902272	0.0237	0.0308	0	0	0	0	0
0.172149386973852	99.1802442303576	0.0207	0	0	0	0	0	0
2.8268733647965	90.8062039409498	0.575	0.1693	1	0	1	0	0.333333333333333
2.93318230575799	115.022380165716	0.4295	0.1309	0	0	1	1	0.666666666666667
1.43859808751453	120.027989384378	0.0627	0	0	0	1	0	0.333333333333333
2.07233300279907	79.8496936826359	0.6466	0.1766	0	0	1	0	0.333333333333333
2.25204632326393	133.969651748072	0.3406	0	0	0	1	0	0.333333333333333
0.343141110047228	173.488940448669	0	0	0	0	0	0	0
1.73634835865754	149.639207482247	0.0082	0	0	0	1	0	0.333333333333333
0.113412767975952	117.523776309719	0	0	0	0	0	0	0
0.0445722858376912	47.9546241012905	0	0	0	0	1	1	0.666666666666667
0.956231335836497	92.0995690769399	0	0	0	0	1	0	0.333333333333333
0.287087932662724	40.4597264982643	0	0	0	0	1	0	0.333333333333333
0.981859308075262	81.8666916278038	0	0	0	0	0	0	0
0.168477263198586	53.84797606696	0	0	0	0	1	0	0.333333333333333
0.820185535083951	129.540038891621	0	0	0	0	0	0	0
0.775852667206326	94.3986146665392	0	0	0	0	0	0	0
2.50493169515969	159.45123737699	0	0	0	0	0	1	0.333333333333333
0.236062484758369	76.0600053742116	0	0	0	0	0	0	0
0.166651577000849	103.760684429617	0	0	0	0	0	0	0
3.10818707414304	114.285740105927	0.3788	0	1	0	1	1	0.666666666666667
0.579312553746326	96.190374293144	0	0	0	0	1	0	0.333333333333333
1.88753827751725	130.180381823243	0	0	0	0	1	0	0.333333333333333
0.232475150698869	122.364916142486	0	0	0	0	1	0	0.333333333333333
0.318031851633828	103.967619225742	0	0	0	0	1	0	0.333333333333333
0.833043010897545	143.876581738563	0	0	0	0	0	0	0
1.12519145302502	111.986561029443	0.0017	0	0	0	1	0	0.333333333333333
1.59229165083549	79.4652600216123	0.3134	0.097	0	0	1	1	0.666666666666667
2.40128495940419	68.8514046537984	0.9802	0.0132	1	0	1	1	0.666666666666667
0.649089221569939	64.7822287382642	0.5041	0.0012	0	0	1	0	0.333333333333333
0.0961807839865972	52.3326222754975	0.0574	0.0087	0	0	0	0	0
0.172654014661389	50.7028743716341	-0.0344	0.0224	0	0	1	0	0.333333333333333
0.373133822381325	104.093242779456	-0.0722	0.0298	0	0	0	0	0
0.0441343013409289	105.10824867897	0	0	0	0	0	0	0
1.75569655187953	95.9097754662019	0.188	0	0	0	0	0	0
0.061010298729083	58.3285981304001	-0.0036	0	0	0	0	1	0.333333333333333
0.0452693210556643	74.5380266616652	-0.0093	0.001	0	0	0	0	0
1.56726809619802	78.3123516682193	0.5612	0.0561	1	0	1	1	0.666666666666667
1.4497549829034	67.8309049074499	0.5635	0	1	0	1	1	0.666666666666667
0.420311679239694	72.4072055739467	-0.0355	0.0512	0	0	1	0	0.333333333333333
0.154035688604433	76.4464311806157	0.1164	0.016	0	0	1	1	0.666666666666667
0.581246269896631	81.3009677692801	-0.0442	0.0195	0	0	1	0	0.333333333333333
2.81941723535781	75.4476064243263	0.117	0	0	0	0	0	0
0.595489754416226	118.905731640086	-0.0732	0.0223	0	0	1	1	0.666666666666667
1.0085234645072	68.3186097359785	-0.3159	0.144	0	1	1	0	0.666666666666667
0.35131342024583	45.6911720374392	0.0903	0	0	1	1	0	0.666666666666667
0.419319503717026	49.3656337765416	-0.4182	0.1099	0	1	0	1	0.666666666666667
1.93023599463219	42.2475365995699	-0.1434	0.7945	1	1	1	1	1
1.2547582194722	114.328509091352	0.6505	0	0	1	0	0	0.333333333333333
2.99383671537958	122.747180088856	0.7424	0	0	1	0	0	0.333333333333333
0.672625436094663	115.685600389941	0	0	0	1	0	0	0.333333333333333
0.447751298009198	57.087139715668	-0.2496	0.0185	0	1	0	1	0.666666666666667
0.35620799457836	65.5845921747834	0.1664	0.0265	0	1	0	0	0.333333333333333
1.03184338431245	61.6229801390873	-0.1392	0.4661	1	1	1	1	1
0.439514954276111	50.030016566581	-0.0837	0	0	1	1	1	1
3.50507655182192	59.8872499124555	0.4954	0.5046	1	1	1	0	0.666666666666667
3.21930478899116	85.5551333384846	0	1	1	1	1	1	1
0.359314460337579	65.9784188568058	-0.1815	0.0313	0	1	1	0	0.666666666666667
1.90500229944787	99.1680851314828	0	0	0	1	0	1	0.666666666666667
3.20893565580878	116.834415291929	-1	0	0	1	1	1	1
0.161117309661883	42.4093575051237	-0.3502	0.042	0	1	1	1	1
0.55637793014908	40.0355953797512	-0.2693	0.1478	0	1	0	1	0.666666666666667
1.50986694075751	11.0269817064812	-0.0800999999999999	0.6105	1	1	1	1	1
2.27745937899842	105.216697517413	0.5918	0.0102	0	1	0	0	0.333333333333333
2.4409055679759	102.556263500832	0.4168	0	0	1	0	0	0.333333333333333
0.519748141735099	111.450028535107	0	0	0	1	0	0	0.333333333333333
1.55838489608004	82.9837344768182	0.1095	0	0	1	0	0	0.333333333333333
0.316829659346575	66.5764772148809	-0.1521	0.0232	0	1	0	1	0.666666666666667
0.888952240476321	63.4297329364491	-0.414	0.282	0	1	1	1	1
0.161226588701889	64.2179472184993	-0.0359	0	0	1	1	0	0.666666666666667
2.6439138277818	39.7331610981534	0.6252	0.16	1	1	1	0	0.666666666666667
1.58756501847669	28.9434493940125	-0.175	0.3841	1	1	1	1	1
0.650502410391603	63.9925891106079	-0.4337	0.186	0	1	1	1	1
1.3124079112479	63.0867180039467	0	0	0	1	0	1	0.666666666666667
3.51679813266987	98.1563589736864	0.7676	0	1	1	1	0	0.666666666666667
0.448481030973789	36.8080775022708	-0.1335	0.2079	0	1	0	1	0.666666666666667
0.370095232320482	67.6574676084749	0.1197	0.0487	0	1	1	0	0.666666666666667
0.906038060100523	25.8228963213199	-0.2221	0.1895	1	1	0	0	0.333333333333333
1.68363285998067	87.536179650443	0.192	0	0	1	0	0	0.333333333333333
1.59776590309563	79.901134369109	0	0	0	1	0	0	0.333333333333333
0.285038886962193	43.6722357773439	0.0296	0.157	0	1	0	0	0.333333333333333
0.223474130962004	80.0012545248017	0.1357	0	0	1	0	0	0.333333333333333
0.0054345953645062	39.9841245898986	-0.1689	0	0	1	1	0	0.666666666666667
3.22529012995907	113.941370501757	0.0465	0	0	1	1	0	0.666666666666667
2.26689512526332	121.750277496221	0	0	0	1	1	0	0.666666666666667
1.53511693691564	117.148065567002	0	0	0	1	1	0	0.666666666666667
3.55359006791599	66.1684844371693	0.9344	0	1	1	1	0	0.666666666666667
1.5595978437398	36.8136091118423	0.6833	0	1	1	0	0	0.333333333333333
2.31485503834713	62.5009028009727	-0.3034	0.5702	1	1	1	1	1
0.140628283696118	17.8283726982659	0.0658	0.0461	0	0	1	0	0.333333333333333
0.17168128539199	100.747842143455	0.0342	0.0359	0	0	0	0	0
0.495440348723726	86.8162211105554	0.0912	0	0	0	0	0	0
1.88713737882399	78.1257003975259	0.0074	0	0	0	0	1	0.333333333333333
0.261689056508542	20.1169681331136	0.0279	0.1458	0	0	0	1	0.333333333333333
0.255197129035344	47.3651226359875	0.1896	0.0624	0	0	0	1	0.333333333333333
0.423729083219926	50.2680151638599	-0.3843	0.1099	0	0	1	1	0.666666666666667
0.552803636232179	43.9121688141474	0.0845	0.0628	0	0	1	0	0.333333333333333
1.13054527885656	31.1652812910157	0.3304	0.4746	1	0	1	1	0.666666666666667
1.160250499609	43.6579132086852	0.3048	0.5097	0	0	1	1	0.666666666666667
0.519802849292414	12.2540635827698	-0.2934	0.1467	1	0	1	1	0.666666666666667
2.28250580101822	3.72974886376503	0.1063	0	1	0	0	0	0
0.705510926762912	38.2519586506575	-0.2142	0.2955	1	0	1	1	0.666666666666667
0.7487628169525	49.9248747238134	-0.2215	0.3295	0	1	0	0	0.333333333333333
0.964573966377537	83.3498607768433	0.1858	0	0	1	0	0	0.333333333333333
0.969014306434515	93.050811881375	0	0	0	1	0	0	0.333333333333333
0.044421536380841	13.4493081005039	0.033	0.0062	0	1	0	0	0.333333333333333
0.804978138915937	73.520576571507	0.3161	0.1795	0	1	0	1	0.666666666666667
0.981994463258928	19.9872162597093	-0.13	0.526	1	1	1	1	1
