time	date	block	treatment	datapoint	type	Cb	Cd	Ci	Ee	Pg	Pp	ACHMIL	AGREUP	ANTODO	ARRELA	BROERE	BROMOL	BROSTE	CARCAR	CENJAC	CONARV	CREPIS	CRULAE	DACGLO	DAUCAR	ELYREP	ERYNGE	FALVUL	FESARU	FESRUB	FRAEXE	GALAPA	GALMOL	GALVER	GERDIS	GERROT	HIMHIR	LEUVUL	LOLPER	LOTCOR	MALSYL	MEDARA	MEDLUP	MYORAM	ONOREP	ORCHID	PICECH	PICHIE	PLALAN	PLAMAJ	POAANG	POAPOI	POAPRA	POA.SP	POATRI	POTREP	PRIVUL	PRUVUL	RANACR	RANREP	RUBFRU	RUMACE	SALPRA	SENJAC	SONCHU	TAROFF	TRAPRA	TRICAM	TRIFLA	TRIPRA	TRIREP	VERBOF	VERPER	VICSAT
1	Jun12	1	Cb	4	cover	24	0	0	0	0	0	NA	NA	NA	2	NA	NA	NA	NA	NA	0.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
1	Jun12	1	Cb	5	cover	24	0	0	0	0	0	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb	6	cover	24	0	0	0	0	0	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
1	Jun12	1	Cb	7	cover	24	0	0	0	0	0	NA	NA	NA	1.5	NA	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb	8	cover	24	0	0	0	0	0	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
1	Jun12	1	Cb	9	cover	24	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2.5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	1	cover	8	8	0	0	8	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	0.5	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	2	cover	8	8	0	0	8	0	NA	NA	NA	1.5	NA	NA	NA	NA	NA	1	NA	NA	2	1.5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	3	cover	8	8	0	0	8	0	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	4	cover	8	8	0	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	5	cover	8	8	0	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	6	cover	8	8	0	0	8	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	7	cover	8	8	0	0	8	0	1	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	8	cover	8	8	0	0	8	0	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
1	Jun12	1	Cb.Cd.Pg	9	cover	8	8	0	0	8	0	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Jun12	1	Cb.Ci.Pg	1	cover	8	0	8	0	8	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
